982120000,United States
982120001,Australia
982120002,Germany
982120003,France
982120004,India
982120005,Canada
982120006,Germany
982120007,France
982120008,India
982120009,Canada
982120010,Germany
982120011,France
982120012,India
982120013,Canada
982120014,United States
982120015,Australia
982120016,Germany
982120017,France
982120018,India
982120019,Canada
982120020,Germany
982120021,France
982120022,India
982120023,Canada
982120024,Germany
982120025,France
982120026,India
982120027,Canada
982120028,United States
982120029,Australia
982120030,Germany
982120031,France
982120032,India
982120033,Canada
982120034,Germany
982120035,France
982120036,India
982120037,Canada
982120038,Germany
982120039,France
982120040,India
982120041,Canada